"Title";"Artist";"Cover";"Year";"Genre";"Rank";Type
"Led Zeppelin";"Led Zeppelin";"LedZeppelinCover.png";"1969";"rock";"101";"a"
"The Clash";"Clash";"TheClashCover.jpg";"1977";"punk";"102";"a"
"3 Feet High and Rising";"De La Soul";"3FeetHighandRisingCover.jpg";"1989";"hip-hop";"103";"a"
"Sticky Fingers";"The Rolling Stones";"StickyFingersCover.png";"1971";"rock";"104";"a"
"At Fillmore East";"Allman Brothers Band";"BandAtFillmoreEastCover.jpg";"1971";"rock";"105";"a"
"Live Through This";"Hole";"LiveThroughThisCover.png";"1994";"alternative";"106";"a"
"Marquee Moon";" Television";"MarqueeMoonCover.jpg";"1977";"rock";"107";"a"
"When the Pawn...";"Fiona Apple";"WhenthePawnCover.jpg";"1999";"pop";"108";"a"
"Transformer";"Lou Reed";"TransformerCover.jpg";"1972";"rock";"109";"a"
"Court and Spark";"Joni Mitchell";"CourtandSparkCover.jpg";"1974";"folk";"110";"a"
"Control";"Janet Jackson";"ControlCover.png";"1986";"pop";"111";"a"
"Goodbye Yellow Brick Road";"Elton John";"GoodbyeYellowBrickRoadCover.jpg";"1973";"pop";"112";"a"
"The Queen Is Dead";"Smiths";"QueenisDeadCover.png";"1986";"rock";"113";"a"
"Is This It";"Strokes";"IsThisItCover.png";"2001";"rock";"114";"a"
"Good Kid, M.A.A.D City";"Kendrick Lamar";"GKMCCover.jpg";"2012";"hip-hop";"115";"a"
"Disintegration";"Cure";"DisintegrationCover.jpg";"1989";"alternative";"116";"a"
"Late Registration";"Kanye West";"LateRegistrationCover.jpg";"2005";"hip-hop";"117";"a"
"Hotel California";"Eagles";"HotelcaliforniaCover.jpg";"1976";"rock";"118";"a"
"Stand!";"Sly and the Family Stone";"StandCover.jpg";"1969";"funk";"119";"a"
"Moondance";"Van Morrison";"MoondanceCover.jpg";"1970";"folk";"120";"a"
"This Year's Model";"Elvis Costello";"ThisYearsModelCover.jpg";"1978";"alternative";"121";"a"
"The Downward Spiral";"Nine Inch Nails";"The1DownwardSpiralCover.png";"1994";"rock";"122";"a"
"Led Zeppelin II";"Led Zeppelin";"LedZeppelinIICover.jpg";"1969";"rock";"123";"a"
"Achtung Baby";"U2";"AchtungBabyCover.png";"1991";"rock";"124";"a"
"Paul's Boutique";"Beastie Boys";"PaulsBoutiqueCover.png";"1989";"hip-hop";"125";"a"
