"Title";"Artist";"Cover";"Year";"Genre";"Rank";"Type"
"My Life";"Mary J. Blige";"MyLifeCover.jpg";"1994";"r-b";"126";"a"
"Modern Sounds in Music";"Ray Charles";"ModernSoundsCover.jpg";"1962 ";"soul";"127";"a"
"A Night at the Opera";"Queen";"ANightAtTheOperaCover.png";"1975";"rock";"128";"a"
"The Wall";"Pink Floyd";"TheWallCover.png";"1979";"rock";"129";"a"
"1999";"Prince";"1999Cover.jpg";"1982";"rock";"130";"a"
"Dummy";"Portishead";"DummyCover.png";"1994";"rock";"131";"a"
"40 Greatest Hits";"Hank Williams";"GreatestHitsHankWCover.jpg";"1978";"country";"132";"a"
"Hejira";"Joni Mitchell";"HejiraCover.jpg";"1976";"folk";"133";"a"
"The Score";"Fugees";"TheScoreCover.png";"1996";"hip-hop";"134";"a"
"The Joshua Tree";"U2";"TheJoshuaTreeCover.png";"1987";"rock";"135";"a"
"Maggot Brain";"Funkadelic";"FunkadelicCover.jpg";"1971";"funk";"136";"a"
"21";"Adele";"21Cover.png";"2011";"pop";"137";"a"
"The Immaculate Collection";"Madonna";"TheImmaculateCover.png";"1990";"pop";"138";"a"
"Paranoid";"Black Sabbath";"ParanoidCover.jpg";"1970";"metal";"139";"a"
"Catch a Fire";"Bob Marley and the Wailers";"CatchAFireCover.jpg";"1973";"reggae";"140";"a"
"Doolittle";"Pixies";"DoolittleCover.jpg";"1989";"indie";"141";"a"
"Born in the U.S.A.";"Bruce Springsteen";"BornintheUSA1984Cover.jpg";"1984";"rock";"142";"a"
"The Velvet Underground";"Velvet Underground";"VelvetundergroundthirdCover.jpg";"1969 ";"rock";"143";"a"
"Physical Graffiti";"Led Zeppelin";"PhysicalGraffitiCover.jpg";"1975";"rock";"144";"a"
"The Marshall Mathers LP";"Eminem";"TheMarshallMathersLPCover.jpg";"2000";"hip-hop";"145";"a"
"Parallel Lines";"Blondie";"ParallelLinesCover.png";"1978";"alternative";"146";"a"
"Grace";"Jeff Buckley";"GraceCover.jpg";"1994";"alternative";"147";"a"
"Channel Orange";"Frank Ocean";"ChannelORANGECover.jpg";"2012";"r-b";"148";"a"
"John Prine";"John Prine";"JohnPrineCover.jpg";"1971";"country";"149";"a"
"Nebraska";"Bruce Springsteen";"NebraskaCover.jpg";"1982";"rock";"150";"a"
