"Title";"Artist";"Cover";"Year";"Genre";"Rank"
"Midnight Marauders";"A Tribe Called Quest";"MidnightMaraudersCover.jpg";"1993";"hip-hop";"201"
"Homogenic";"Björk";"HomogenicCover.png";"1997";"electronic";"202"
"Pink Moon";"Nick Drake";"PinkMoonCover.jpg";"1972";"folk";"203"
"Graduation";"Kanye West";"GraduationCover.jpg";"2007";"hip-hop";"204"
"Tea for the Tillerman";"Cat Stevens";"TeafortheTillermanCover.png";"1970";"folk";"205"
"Low";"David Bowie";"LowCover.jpg";"1977";"experimental";"206"
"Eagles";"Eagles";"TheEaglesCover.jpg";"1972";"rock";"207"
"Tha Carter III";"Lil Wayne";"CarterIIICover.jpg";"2008";"hip-hop";"208"
"Raising Hell";"Run-DMC";"RaisingHellCover.jpg";"1986";"hip-hop";"209"
"The Birth of Soul";"Ray Charles";"TheBirthofSoulCover.jpg";"1991";"soul";"210"
"Unknown Pleasures";"Joy Division";"UnknownPleasuresCover.jpg";"1979";"alternative";"211"
"Wild Is the Wind";"Nina Simone";"WildistheWindCover.jpg";"1981";"jazz";"212"
"The Idler Wheel...";"Fiona Apple";"TheIdlerWheelCover.jpg";"2012";"pop";"213"
"Wildflowers";"Tom Petty";"WildflowersCover.jpg";"1994";"rock";"214"
"American Beauty";"Grateful Dead";"AmericanBeautyCover.jpg";"1970";"rock";"215"
"Either-Or";"Elliott Smith";"EitherorCover.jpg";"1997";"folk";"216"
"Definitely Maybe";"Oasis";"DefinitelyMaybeCover.jpg";"1994";"indie";"217"
"CrazySexyCool";"TLC";"CrazySexyCoolCover.png";"1994";"r-b";"218"
"Only Built 4 Cuban Linx";"Wu-Tang Clan";"OnlyBuildCubanLynxCover.jpg";"1995";"hip-hop";"219"
"Déjà Vu";"Crosby, Stills, Nash & Young";"DejaVuCover.jpg";"1970";"rock";"220"
"Rage Against the Machine";"Rage";"RageAgainsttheMachineCover.jpg";"1992";"rock";"221"
"Ray of Light";"Madonna";"RayofLightCover.png";"1998";"pop";"222"
"Imagine";"John Lennon";"ImagineCover.jpg";"1971";"rock";"223"
"Fly";"Dixie Chicks";"FlyCover.jpg";"1999";"country";"224"
"Yankee Hotel Foxtrot";"Wilco";"YankeeHotelFoxtrotCover.png";"2002";"alernative";"225"
