As It Was;Harry Styles;2022;	 
Pancho and Lefty;Townes Van Zandt;1972;	 
Truth Hurts;Lizzo;2017;	 
Without You;Harry Nilsson;1971;	 
You’re So Vain;Carly Simon;1972;	 
Time After Time;Cyndi Lauper;1983;	 
Where Is My Mind?;Pixies;1988;	 
Stronger;Kanye West;2007;	 
So What;Miles Davis;1959;	 
Titi Me Pregunto;Bad Bunny;2022;	 
Old Town Road;Lil Nas X;2019;	 
Cannonball;The Breeders;1993;	 
House of Balloons;The Weeknd;2011;	 
Cranes in the Sky;Solange;2016;	 
A Milli;Lil Wayne;2009;	 
212;Azealia Banks;2011;	 
Buddy Holly;Weezer;1994;	 
I Can’t Help Myself (Sugar Pie, Honey Bunch);The Four Tops;1965;	 
Bad Romance;Lady Gaga;2009;	 
Cross Road Blues;Robert Johnson;1937;	 
Just a Friend;Biz Markie;1989;	 
Oye Como Va;Santana;1970;	 
Back That Azz Up;Juvenile ft. Lil Wayne and Mannie Fresh;1998;	 
Our Lips Are Sealed;The Go-Gos;1981;	 
Sunday Mornin’ Comin’ Down;Kris Kristofferson;1970;	 
Rhythm Nation;Janet Jackson;1989;	 
Move On Up;Curtis Mayfield;1970;	 
Stand by Your Man;Tammy Wynette;1968;	 
Solsbury Hill;Peter Gabriel;1977;	 
The House of the Rising Sun;The Animals;1964;	 
Midnight Train to Georgia;Gladys Knight and the Pips;1973;	 
Goodbye Earl;Dixie Chicks;2000;	 
Fade Into You;Mazzy Star;1993;	 
Come as You Are;Nirvana;1991;	 
Never Too Much;Luther Vandross;1981;	 
Get Lucky;Daft Punk ft.Pharrell Williams;2013;	 
Help Me;Joni Mitchell;1974;	 
Boom Boom;John Lee Hooker;1962;	 
Into the Mystic;Van Morrison;1970;	 
Crying;Roy Orbison;1962;	 
Ku Klux Klan;Steel Pulse;1978;	 
No Ordinary Love;Sade;1992;	 
Loser;Beck;1993;	 
Livin' on a Prayer;Bon Jovi;1986;	 
Summertime Sadness;Lana Del Rey;2023;	 
White Rabbit;Jefferson Airplane;1967;	 
Bam Bam;Sister Nancy;1982;	 
The Rain;Missy Elliott;1997;	 
Africa;Toto;1982;	 
Bad and Boujee;Migos ft.Lil Uzi Vert;2016;	 
Powderfinger;Neil Young;1979;	 
